ente,uf,ano,grupo,contrib_previdenciaria,receita_liquida_investimentos,recursos_acumulados,data_recebimento_adesao,data_adesao,data_cert_inicial,nivel_inicial,data_renovacao_cert,nivel_atual,contrib_previdenciaria_problema,receita_liquida_investimentos_problema,recursos_acumulados_problema
AGRESTINA,PE,2023,MÉDIO PORTE,7960054.31,33263590.75,19438845.45,,,,,,,False,False,False
AGRESTINA,PE,2024,MÉDIO PORTE,8590376.68,32690713.31,28531041.31,2023-02-07 00:00:00,2023-02-03 00:00:00,,,,,False,False,False
AGRICOLANDIA,PI,2019,PEQUENO PORTE,1055155.81,29948784.91,689630.0499999999,,,,,,,False,False,False
AGRICOLANDIA,PI,2020,PEQUENO PORTE,1142079.07,29924005.919999998,979742.55,,,,,,,False,False,False
AGRICOLANDIA,PI,2021,PEQUENO PORTE,1440878.41,29987172.0,1153040.18,,,,,,,False,False,False
AGRICOLANDIA,PI,2022,PEQUENO PORTE,1825448.5,30051208.72,1753638.89,,,,,,,False,False,False
AGRICOLANDIA,PI,2023,PEQUENO PORTE,1718666.57,30237168.77,2484252.98,,,,,,,False,False,False
AGRICOLANDIA,PI,2024,PEQUENO PORTE,2112973.47,30084296.83,3225374.61,2022-01-28 00:00:00,2021-12-14 00:00:00,,,,,False,False,False
AGUA FRIA DE GOIAS,GO,2019,PEQUENO PORTE,1402894.91,30811692.8,8224478.9,,,,,,,False,False,False
AGUA FRIA DE GOIAS,GO,2020,PEQUENO PORTE,1716763.46,30428384.45,9668938.960000005,,,,,,,False,False,False
AGUA FRIA DE GOIAS,GO,2021,PEQUENO PORTE,1811923.94,29832089.73,10782748.38,,,,,,,False,False,False
AGUA FRIA DE GOIAS,GO,2022,PEQUENO PORTE,2149785.13,30841250.39,11198180.43,,,,,,,False,False,False
AGUA FRIA DE GOIAS,GO,2023,PEQUENO PORTE,3637754.26,31719637.939999998,12466445.13,,,,,,,False,False,False
AGUA FRIA DE GOIAS,GO,2024,PEQUENO PORTE,4266765.18,30496437.68,15370114.89,,,,,,,False,False,False
AGUA SANTA,RS,2019,PEQUENO PORTE,2381704.77,32095825.46,22889348.83,,,,,,,False,False,False
AGUA SANTA,RS,2020,PEQUENO PORTE,2628387.01,31219170.16,25992592.23,,,,,,,False,False,False
AGUA SANTA,RS,2021,PEQUENO PORTE,2474164.13,30115467.59,27901042.75,,,,,,,False,False,False
AGUA SANTA,RS,2022,PEQUENO PORTE,2726998.97,32289500.099999998,29589161.06,,,,,,,False,False,False
AGUA SANTA,RS,2023,PEQUENO PORTE,3236394.97,34328514.79,33433625.97,,,,,,,False,False,False
AGUA SANTA,RS,2024,PEQUENO PORTE,4052785.14,33157757.47,38633481.68,,,,,,,False,False,False
AGUAS BELAS,PE,2019,MÉDIO PORTE,8858962.7,29884578.439999998,425137.97,,,,,,,False,False,False
AGUAS BELAS,PE,2020,MÉDIO PORTE,9334001.72,29869523.83,21391.07,,,,,,,False,False,False
AGUAS BELAS,PE,2021,MÉDIO PORTE,9849257.53,29872693.75,324896.44,,,,,,,False,False,False
AGUAS BELAS,PE,2022,MÉDIO PORTE,13672078.98,30004641.259999998,713634.76,,,,,,,False,False,False
AGUAS BELAS,PE,2023,MÉDIO PORTE,16581237.09,30078977.07,1063435.72,,,,,,,False,False,False
AGUAS BELAS,PE,2024,MÉDIO PORTE,17776228.59,30013805.82,2139980.39,2023-07-18 00:00:00,2023-07-12 00:00:00,,,,,False,False,False
AGUAS FORMOSAS,MG,2019,PEQUENO PORTE,1402461.59,31591839.32,17828097.35,,,,,,,False,False,False
AGUAS FORMOSAS,MG,2020,PEQUENO PORTE,1475842.89,30186433.849999998,19761872.51,,,,,,,False,False,False
AGUAS FORMOSAS,MG,2021,PEQUENO PORTE,3225223.8,30664297.41,21076548.98,,,,,,,False,False,False
AGUAS FORMOSAS,MG,2022,PEQUENO PORTE,3572717.96,32327939.21,24593189.91,,,,,,,False,False,False
AGUAS FORMOSAS,MG,2023,PEQUENO PORTE,3160570.16,33566961.04,28837403.12,,,,,,,False,False,False
AGUAS FORMOSAS,MG,2024,PEQUENO PORTE,3737461.31,32604175.619999997,31932963.96,,,,,,,False,False,False
AGUDO,RS,2019,MÉDIO PORTE,6995501.76,37654739.589999996,56178501.66,,,,,,,False,False,False
AGUDO,RS,2020,MÉDIO PORTE,7234696.02,37000973.06,62107498.47,,,,,,,False,False,False
AGUDO,RS,2021,MÉDIO PORTE,7325483.78,33984777.78,61683788.91,,,,,,,False,False,False
AGUDO,RS,2022,MÉDIO PORTE,9612408.09,34534561.339999996,56363099.44000001,,,,,,,False,False,False
AGUDO,RS,2023,MÉDIO PORTE,10998984.48,38484361.55,55266454.38,,,,,,,False,False,False
AGUDO,RS,2024,MÉDIO PORTE,12456123.33,34420807.98,57807149.21,,,,,,,False,False,False
AGUIA BRANCA,ES,2019,PEQUENO PORTE,3323290.42,34045959.73,28830263.29,,,,,,,False,False,False
AGUIA BRANCA,ES,2020,PEQUENO PORTE,3425472.91,30834455.18,34266184.94000001,,,,,,,False,False,False
AGUIA BRANCA,ES,2021,PEQUENO PORTE,2387496.46,29697814.43,36812195.17,,,,,,,False,False,False
AGUIA BRANCA,ES,2022,PEQUENO PORTE,3156695.03,33344814.49,37212320.72,,,,,,,False,False,False
AGUIA BRANCA,ES,2023,PEQUENO PORTE,4282776.26,35361450.18,40881381.33,,,,,,,False,False,False
AGUIA BRANCA,ES,2024,PEQUENO PORTE,6314173.83,31857055.009999998,45681584.69,,,,,,,False,False,False
AIUABA,CE,2019,PEQUENO PORTE,1772066.39,30085060.11,1417706.46,,,,,,,False,False,False
AIUABA,CE,2020,PEQUENO PORTE,1015584.27,30075881.14,3786649.1,,,,,,,False,False,False
AIUABA,CE,2021,PEQUENO PORTE,2381878.55,29969061.36,4560722.060000001,,,,,,,False,False,False
AIUABA,CE,2022,PEQUENO PORTE,3463871.41,30516296.4,6824748.52,,,,,,,False,False,False
AIUABA,CE,2023,PEQUENO PORTE,3438590.55,31362528.61,10414825.6,,,,,,,False,False,False
AIUABA,CE,2024,PEQUENO PORTE,1671977.02,30853704.82,14501919.42,,,,,,,False,False,False
AJURICABA,RS,2019,PEQUENO PORTE,2199188.3,30537240.43,2403526.56,,,,,,,False,False,False
AJURICABA,RS,2020,PEQUENO PORTE,2942806.13,30169685.9,4024088.58,,,,,,,False,False,False
AJURICABA,RS,2021,PEQUENO PORTE,3247559.92,30566730.9,6632833.29,,,,,,,False,False,False
AJURICABA,RS,2022,PEQUENO PORTE,3982021.59,30714146.4,8473004.9,,,,,,,False,False,False
AJURICABA,RS,2023,PEQUENO PORTE,4266708.88,31316582.98,10635236.34,,,,,,,False,False,False
AJURICABA,RS,2024,PEQUENO PORTE,5051488.89,31276161.63,14154357.12,,,,,,,False,False,False
ALAGOA,MG,2019,PEQUENO PORTE,1749869.94,29894851.849999998,577340.97,,,,,,,False,False,False
ALAGOA,MG,2020,PEQUENO PORTE,1846348.61,29880076.5,280647.83,,,,,,,False,False,False
ALAGOA,MG,2021,PEQUENO PORTE,1871395.19,29881713.11,552020.35,,,,,,,False,False,False
ALAGOA,MG,2022,PEQUENO PORTE,3230422.63,29935061.96,492443.61,,,,,,,False,False,False
ALAGOA,MG,2023,PEQUENO PORTE,3239276.17,29974790.04,945884.58,,,,,,,False,False,False
ALAGOA,MG,2024,PEQUENO PORTE,2163012.01,29972694.66,1200687.91,,,,,,,False,False,False
ALAGOINHA,PB,2019,PEQUENO PORTE,3200163.85,31670875.98,20912076.39,,,,,,,False,False,False
ALAGOINHA,PB,2020,PEQUENO PORTE,3587568.95,32227280.619999997,21832223.22,,,,,,,False,False,False
ALAGOINHA,PB,2021,PEQUENO PORTE,5651029.02,30058824.82,24247854.13,,,,,,,False,False,False
ALAGOINHA,PB,2022,PEQUENO PORTE,5415349.96,32217389.73,25314888.08,,,,,,,False,False,False
ALAGOINHA,PB,2023,PEQUENO PORTE,3724230.43,33373162.08,26578442.69,,,,,,,False,False,False
ALAGOINHA,PB,2024,PEQUENO PORTE,3795899.91,31355459.54,26689255.17,,,,,,,False,False,False
ALAGOINHA,PE,2019,PEQUENO PORTE,2472967.63,31118774.34,11891829.59,,,,,,,False,False,False
ALAGOINHA,PE,2020,PEQUENO PORTE,1663993.26,31442801.36,12213829.65,,,,,,,False,False,False
ALAGOINHA,PE,2021,PEQUENO PORTE,3096805.43,30588099.79,10917113.48,,,,,,,False,False,False
ALAGOINHA,PE,2022,PEQUENO PORTE,3930727.38,30768214.13,9752995.83,,,,,,,False,False,False
ALAGOINHA,PE,2023,PEQUENO PORTE,4132084.7,30303421.84,9277013.49,,,,,,,False,False,False
ALAGOINHA,PE,2024,PEQUENO PORTE,4610996.07,30532501.529999997,8159668.63,,,,,,,False,False,False
ALEGRE,ES,2019,MÉDIO PORTE,12537245.66,30726227.919999998,13142924.76,,,,,,,False,False,False
ALEGRE,ES,2020,MÉDIO PORTE,14023697.04,30724024.68,16343341.57,,,,,,,False,False,False
ALEGRE,ES,2021,MÉDIO PORTE,14190751.93,30447086.009999998,21377041.03,,,,,,,False,False,False
ALEGRE,ES,2022,MÉDIO PORTE,15848043.36,31664689.06,22997908.82,,,,,,,False,False,False
ALEGRE,ES,2023,MÉDIO PORTE,17312532.8,34032095.0,27272823.59,,,,,,,False,False,False
ALEGRE,ES,2024,MÉDIO PORTE,19257593.28,32407576.7,41656258.05,2021-12-09 00:00:00,2021-12-06 00:00:00,,,,,False,False,False
ALEGRETE DO PIAUI,PI,2019,PEQUENO PORTE,610683.35,30258173.58,5898945.840000001,,,,,,,False,False,False
ALEGRETE DO PIAUI,PI,2020,PEQUENO PORTE,935012.13,30228052.439999998,6462262.0,,,,,,,False,False,False
ALEGRETE DO PIAUI,PI,2021,PEQUENO PORTE,1136630.17,29969912.43,6767612.010000002,,,,,,,False,False,False
ALEGRETE DO PIAUI,PI,2022,PEQUENO PORTE,1429688.18,30543719.36,6858137.92,,,,,,,False,False,False
ALEGRETE DO PIAUI,PI,2023,PEQUENO PORTE,1492011.12,30830837.96,7608146.65,,,,,,,False,False,False
ALEGRETE DO PIAUI,PI,2024,PEQUENO PORTE,1819617.16,30252537.98,7938805.19,2022-01-28 00:00:00,2021-12-14 00:00:00,,,,,False,False,False
ALEM PARAIBA,MG,2019,MÉDIO PORTE,4846281.38,36666771.629999995,43015416.74000001,,,,,,,False,False,False
ALEM PARAIBA,MG,2020,MÉDIO PORTE,5748072.07,32102350.36,50695223.29000001,,,,,,,False,False,False
ALEM PARAIBA,MG,2021,MÉDIO PORTE,5608196.17,30681520.71,52534922.83000001,,,,,,,False,False,False
ALEM PARAIBA,MG,2022,MÉDIO PORTE,5867250.44,35634289.66,51662101.77,,,,,,,False,False,False
ALEM PARAIBA,MG,2023,MÉDIO PORTE,6100578.37,37623841.95,53554118.03,,,,,,,False,False,False
ALEM PARAIBA,MG,2024,MÉDIO PORTE,6906634.9,32181180.25,62402332.53,,,,,,,False,False,False
ALGODAO DE JANDAIRA,PB,2019,MÉDIO PORTE,1073348.86,30783614.779999997,5953846.23,,,,,,,False,False,False
ALGODAO DE JANDAIRA,PB,2020,PEQUENO PORTE,1342081.18,30238249.02,7014898.38,,,,,,,False,False,False
ALGODAO DE JANDAIRA,PB,2021,PEQUENO PORTE,1615367.78,29783341.36,7658799.77,,,,,,,False,False,False
ALGODAO DE JANDAIRA,PB,2022,PEQUENO PORTE,2127622.13,29862452.79,8864399.58,,,,,,,False,False,False
ALGODAO DE JANDAIRA,PB,2023,PEQUENO PORTE,2106727.49,29862452.79,10784617.98,,,,,,,False,False,False
ALGODAO DE JANDAIRA,PB,2024,PEQUENO PORTE,2552818.74,29862452.79,13203210.2,,,,,,,False,False,False
ALHANDRA,PB,2019,MÉDIO PORTE,3789989.32,30736183.98,6338608.7,,,,,,,False,False,False
ALHANDRA,PB,2020,MÉDIO PORTE,2184718.3,30098721.64,6949215.54,,,,,,,False,False,False
ALHANDRA,PB,2021,MÉDIO PORTE,7137589.91,30043387.88,7327925.17,,,,,,,False,False,False
ALHANDRA,PB,2022,MÉDIO PORTE,10823238.76,30234421.47,8664639.73,,,,,,,False,False,False
ALHANDRA,PB,2023,MÉDIO PORTE,12237221.09,31704176.95,12446011.12,,,,,,,False,False,False
ALHANDRA,PB,2024,MÉDIO PORTE,16238590.42,31397653.45,17977246.78,,,,,,,False,False,False
ALIANCA,PE,2019,MÉDIO PORTE,12599702.05,29864320.88,8241.99,,,,,,,False,False,False
ALIANCA,PE,2020,MÉDIO PORTE,13507127.55,29863635.73,17269.16,,,,,,,False,False,False
ALIANCA,PE,2021,MÉDIO PORTE,14148894.84,29863970.91,436625.5,,,,,,,False,False,False
ALIANCA,PE,2022,MÉDIO PORTE,18333747.04,29866618.18,12091.05,,,,,,,False,False,False
ALIANCA,PE,2023,MÉDIO PORTE,21011345.78,30068985.34,182753.98,,,,,,,False,False,False
ALIANCA,PE,2024,MÉDIO PORTE,23384307.14,30084443.93,2033523.67,2023-03-08 00:00:00,2023-02-01 00:00:00,,,,,False,False,False
ALTAMIRA DO PARANA,PR,2019,PEQUENO PORTE,1304241.77,30271196.669999998,3267732.7,,,,,,,False,False,False
ALTAMIRA DO PARANA,PR,2020,PEQUENO PORTE,1403339.01,29786084.259999998,3755172.35,,,,,,,False,False,False
ALTAMIRA DO PARANA,PR,2021,PEQUENO PORTE,1468404.74,29876673.279999997,4904111.100000001,,,,,,,False,False,False
ALTAMIRA DO PARANA,PR,2022,PEQUENO PORTE,1688972.8,30532797.0,6138534.56,,,,,,,False,False,False
ALTAMIRA DO PARANA,PR,2023,PEQUENO PORTE,1833791.89,30399961.759999998,6981139.18,,,,,,,False,False,False
ALTAMIRA DO PARANA,PR,2024,PEQUENO PORTE,2096193.14,30427409.099999998,7692333.95,,,,,,,False,False,False
ALTINHO,PE,2019,MÉDIO PORTE,4361589.51,30165512.08,1259115.8,,,,,,,False,False,False
ALTINHO,PE,2020,MÉDIO PORTE,4974546.28,30034137.939999998,2169372.65,,,,,,,False,False,False
ALTINHO,PE,2021,MÉDIO PORTE,6357763.82,29946900.81,1871286.11,,,,,,,False,False,False
ALTINHO,PE,2022,MÉDIO PORTE,7474299.54,29935343.59,344407.58,,,,,,,False,False,False
ALTINHO,PE,2023,MÉDIO PORTE,9026068.5,30151472.45,1448835.56,,,,,,,False,False,False
ALTINHO,PE,2024,MÉDIO PORTE,11843143.73,29951224.91,1568724.54,2022-12-19 00:00:00,2022-10-04 00:00:00,,,,,False,False,False
ALTINOPOLIS,SP,2019,MÉDIO PORTE,4922024.47,36160614.76,60523044.03,,,,,,,False,False,False
ALTINOPOLIS,SP,2020,MÉDIO PORTE,4926009.6,32717361.39,68378784.39,,,,,,,False,False,False
ALTINOPOLIS,SP,2021,MÉDIO PORTE,5350949.87,30225501.06,72759179.19,,,,,,,False,False,False
ALTINOPOLIS,SP,2022,MÉDIO PORTE,6686362.39,35783800.96,74999003.28,,,,,,,False,False,False
ALTINOPOLIS,SP,2023,MÉDIO PORTE,8735375.19,45980497.31,82644196.92,,,,,,,False,False,False
ALTINOPOLIS,SP,2024,MÉDIO PORTE,9592103.35,37246471.07,97131937.89,,,,,,,False,False,False
ALTO ALEGRE,RS,2019,PEQUENO PORTE,858769.17,30811371.369999997,9903543.85,,,,,,,False,False,False
ALTO ALEGRE,RS,2020,PEQUENO PORTE,961741.11,30343946.09,11007483.47,,,,,,,False,False,False
ALTO ALEGRE,RS,2021,PEQUENO PORTE,1004495.85,30283745.86,11678930.64,,,,,,,False,False,False
ALTO ALEGRE,RS,2022,PEQUENO PORTE,928149.0,30687551.63,12245137.98,,,,,,,False,False,False
ALTO ALEGRE,RS,2023,PEQUENO PORTE,1059685.48,31681438.939999998,12854559.96,,,,,,,False,False,False
ALTO ALEGRE,RS,2024,PEQUENO PORTE,1400246.89,31083112.27,15281509.97,,,,,,,False,False,False
ALTO ARAGUAIA,MT,2019,MÉDIO PORTE,5980424.85,33167083.08,42805735.2,,,,,,,False,False,False
ALTO ARAGUAIA,MT,2020,MÉDIO PORTE,7641322.92,30542025.27,49622404.02,,,,,,,False,False,False
ALTO ARAGUAIA,MT,2021,MÉDIO PORTE,8273686.97,29862452.79,55721248.15000001,,,,,,,False,False,False
ALTO ARAGUAIA,MT,2022,MÉDIO PORTE,9328916.05,29865088.189999998,58120452.39,,,,,,,False,False,False
ALTO ARAGUAIA,MT,2023,MÉDIO PORTE,11552253.19,29888648.05,63972601.82,,,,,,,False,False,False
ALTO ARAGUAIA,MT,2024,MÉDIO PORTE,13183734.4,47002303.07,74086453.35,,,,,,,False,False,False
ALTO FELIZ,RS,2019,PEQUENO PORTE,1529542.34,31566752.66,13517106.63,,,,,,,False,False,False
ALTO FELIZ,RS,2020,PEQUENO PORTE,1641706.57,30949079.27,15987599.16,,,,,,,False,False,False
ALTO FELIZ,RS,2021,PEQUENO PORTE,1966938.6,30338613.46,17588415.01,,,,,,,False,False,False
ALTO FELIZ,RS,2022,PEQUENO PORTE,2044985.21,31462338.939999998,19076601.34,,,,,,,False,False,False
ALTO FELIZ,RS,2023,PEQUENO PORTE,2297018.8,32185004.5,21772899.58,,,,,,,False,False,False
ALTO FELIZ,RS,2024,PEQUENO PORTE,2658092.08,32181716.15,25679190.22,,,,,,,False,False,False
ALTO PARAISO DE GOIAS,GO,2019,PEQUENO PORTE,2128664.73,30277167.39,3363316.14,,,,,,,False,False,False
ALTO PARAISO DE GOIAS,GO,2020,PEQUENO PORTE,2897867.83,30054705.439999998,3253880.68,,,,,,,False,False,False
ALTO PARAISO DE GOIAS,GO,2021,PEQUENO PORTE,2905433.39,29824907.57,3615777.08,,,,,,,False,False,False
ALTO PARAISO DE GOIAS,GO,2022,PEQUENO PORTE,4009438.07,30083273.16,3486476.57,,,,,,,False,False,False
ALTO PARAISO DE GOIAS,GO,2023,PEQUENO PORTE,5667235.03,30293739.79,3197629.03,,,,,,,False,False,False
ALTO PARAISO DE GOIAS,GO,2024,PEQUENO PORTE,7394332.84,29955558.259999998,3623166.49,,,,,,,False,False,False
ALTONIA,PR,2019,MÉDIO PORTE,3986822.53,30170827.56,2984000.55,,,,,,,False,False,False
ALTONIA,PR,2020,MÉDIO PORTE,4165470.36,30082780.66,3427326.46,,,,,,,False,False,False
ALTONIA,PR,2021,MÉDIO PORTE,4742448.99,30034321.88,4804179.83,,,,,,,False,False,False
ALTONIA,PR,2022,MÉDIO PORTE,5769941.84,31230618.279999997,4418689.88,,,,,,,False,False,False
ALTONIA,PR,2023,MÉDIO PORTE,6425158.83,31196496.529999997,13867001.6,,,,,,,False,False,False
ALTONIA,PR,2024,MÉDIO PORTE,6951791.16,30645979.77,14139309.18,,,,,,,False,False,False
ALVARO DE CARVALHO,SP,2019,PEQUENO PORTE,1447366.33,29862452.79,1980499.61,,,,,,,False,False,False
ALVARO DE CARVALHO,SP,2020,PEQUENO PORTE,2091224.67,30108936.779999997,2936719.03,,,,,,,False,False,False
ALVARO DE CARVALHO,SP,2021,PEQUENO PORTE,2284846.19,30011433.02,4133379.39,,,,,,,False,False,False
ALVARO DE CARVALHO,SP,2022,PEQUENO PORTE,2933323.58,30470503.33,4780316.05,,,,,,,False,False,False
ALVARO DE CARVALHO,SP,2023,PEQUENO PORTE,2956303.15,30802189.7,6824712.19,,,,,,,False,False,False
ALVARO DE CARVALHO,SP,2024,PEQUENO PORTE,1781690.71,30611404.029999997,8818534.43,,,,,,,False,False,False
ALVINOPOLIS,MG,2019,PEQUENO PORTE,2655816.68,33592177.94,23358257.54,,,,,,,False,False,False
ALVINOPOLIS,MG,2020,PEQUENO PORTE,3042485.93,31183959.56,27555478.39,,,,,,,False,False,False
ALVINOPOLIS,MG,2021,PEQUENO PORTE,3224377.75,29766128.13,29649142.38,,,,,,,False,False,False
ALVINOPOLIS,MG,2022,PEQUENO PORTE,4125359.1,31831884.58,30282994.58,,,,,,,False,False,False
ALVINOPOLIS,MG,2023,PEQUENO PORTE,4842429.98,34431572.089999996,32505654.58,,,,,,,False,False,False
ALVINOPOLIS,MG,2024,PEQUENO PORTE,5386378.51,31929503.77,37548997.38,2022-03-18 00:00:00,2022-03-07 00:00:00,,,,,False,False,False
ALVORADA DO NORTE,GO,2019,PEQUENO PORTE,1538234.98,31732274.55,12235420.83,,,,,,,False,False,False
ALVORADA DO NORTE,GO,2020,PEQUENO PORTE,2988870.3,30778637.11,13596360.79,,,,,,,False,False,False
ALVORADA DO NORTE,GO,2021,PEQUENO PORTE,3318137.22,29748839.279999997,15910170.22,,,,,,,False,False,False
ALVORADA DO NORTE,GO,2022,PEQUENO PORTE,3673222.02,30983138.95,16257374.24,,,,,,,False,False,False
ALVORADA DO NORTE,GO,2023,PEQUENO PORTE,1852561.43,32323355.38,17615152.25,,,,,,,False,False,False
ALVORADA DO NORTE,GO,2024,PEQUENO PORTE,2624743.56,29909189.43,16568255.68,,,,,,,False,False,False
AMAPORA,PR,2019,PEQUENO PORTE,1579197.32,32565152.049999997,14255802.86,,,,,,,False,False,False
AMAPORA,PR,2020,PEQUENO PORTE,1838087.13,30649325.099999998,16926647.4,,,,,,,False,False,False
AMAPORA,PR,2021,PEQUENO PORTE,1969478.21,29628141.97,16992816.26,,,,,,,False,False,False
AMAPORA,PR,2022,PEQUENO PORTE,2407210.31,31703496.099999998,15510864.34,,,,,,,False,False,False
AMAPORA,PR,2023,PEQUENO PORTE,2873425.78,33754859.29,19063749.26,,,,,,,False,False,False
